input,expression,valid
"[1, 2, 7, 7]",(7 * 7 - 1) / 2,True
"[1, 2, 9, 11]",(1 + 2) * 11 − 9,True
"[1, 3, 4, 6]",(6) / (1 - (3) / (4)),True
"[1, 3, 9, 10]",(10 + 1) * 3 - 9,True
"[1, 4, 5, 6]",6 / ( (5) / (4) - 1 ),True
"[1, 4, 6, 10]",(4 - 1) * 10 - 6,True
"[1, 4, 7, 11]",(1 + 4) * 7 - 11,True
"[1, 4, 9, 13]",(4 * 9 - 13) + 1,True
"[1, 5, 11, 11]",(11 * 11 − 1) / 5,True
"[1, 5, 5, 5]",(5 - 1 / 5) * 5,True
"[1, 6, 11, 13]",(13 * 11 + 1) / 6,True
"[1, 6, 6, 8]",6 / (1 - (6 / 8)),True
"[1, 7, 12, 13]",(13 + 1) / 7 * 12,True
"[1, 7, 13, 13]",(13 * 13 - 1) / 7,True
"[1, 8, 12, 12]",12 / ( (12) / (8) - 1 ),True
"[2, 2, 10, 11]",(2 * 11 - 10) * 2,True
"[2, 2, 11, 11]",(2 / 11 + 2) * 11,True
"[2, 2, 13, 13]",13 * (2 - 2 / 13),True
"[2, 2, 3, 10]",(3 + 10) * 2 - 2,True
"[2, 2, 3, 5]",(5 * 2 - 2) * 3,True
"[2, 2, 6, 13]",(2 + 13) * 2 - 6,True
"[2, 2, 6, 9]",(6 / 2 + 9) * 2,True
"[2, 2, 7, 10]",(10 / 2 + 7) * 2,True
"[2, 3, 13, 13]",(3 * 13 - 13) - 2,True
"[2, 3, 5, 12]",12 / ( 3 - (5) / (2) ),True
"[2, 3, 7, 9]",(7 * 3 - 9) * 2,True
"[2, 3, 8, 13]",(3 + 13) * 2 - 8,True
"[2, 4, 10, 10]",(4 / 10 + 2) * 10,True
"[2, 4, 11, 12]",(11 - 2) * 4 - 12,True
"[2, 4, 7, 12]",(2 + 7) * 4 - 12,True
"[2, 4, 7, 7]",(7 + 7) * 2 - 4,True
"[2, 5, 12, 13]",(13 + 5) * 2 - 12,True
"[2, 5, 5, 10]",5 * (5 - 2 / 10),True
"[2, 5, 6, 9]",(6 / 2) * 5 + 9,True
"[2, 5, 7, 8]",(2 * 5 - 7) * 8,True
"[2, 5, 7, 9]",((7 * 5) - 9) - 2,True
"[2, 5, 8, 12]",((2 + 8) / 5) * 12,True
"[2, 6, 9, 9]",((9 - 6) + 9) * 2,True
"[2, 7, 7, 10]",7 * ( 2 + (10) / (7) ),True
"[2, 7, 8, 9]",(7 + 9) * 2 - 8,True
"[2, 9, 13, 13]",(9 + 13) / 2 + 13,True
"[3, 3, 5, 7]",(3 * 5 − 7) * 3,True
"[3, 3, 6, 6]",3 * (6 + 6/3),True
"[3, 3, 7, 13]",(3 * 7 − 13) * 3,True
"[3, 3, 7, 7]",(3 + 3/7) * 7,True
"[3, 3, 8, 8]",8 / (3 - 8 / 3),True
"[3, 4, 5, 11]",(11 * 3) - 4 - 5,True
"[3, 4, 6, 13]",(13 + 3) * 6 / 4,True
"[3, 5, 7, 13]",(13 * 5 + 7) / 3,True
"[3, 5, 8, 12]",((12 + 3) / 5) * 8,True
"[3, 5, 8, 13]",((8 * 5) - 13) - 3,True
"[3, 6, 6, 10]",(6 - 3) * 10 - 6,True
"[3, 6, 6, 11]",(6 * 11 + 6) / 3,True
"[3, 6, 7, 10]",(6 / 3) * 7 + 10,True
"[3, 7, 9, 13]",(7 * 9) - (3 * 13),True
"[3, 8, 10, 12]",(12 * 10) / (8 - 3),True
"[3, 8, 8, 10]",(8 * 10 - 8) / 3,True
"[3, 9, 11, 13]",(13 - 11) * (9 + 3),True
"[4, 10, 10, 11]",(11 * 4 - 10) - 10,True
"[4, 4, 10, 10]",(10 * 10 - 4) / 4,True
"[4, 4, 7, 13]",(4 * 13) − (4 * 7),True
"[4, 4, 7, 7]",7 * (4 - 4 / 7),True
"[4, 5, 6, 11]",(5 + 11) / 4 * 6,True
"[4, 5, 6, 12]",((4 + 6) / 5) * 12,True
"[4, 5, 9, 12]",(12 / 4) * 5 + 9,True
"[4, 6, 6, 10]",(6 + 10) / 4 * 6,True
"[4, 6, 7, 9]",(7 + 9) / 4 * 6,True
"[4, 7, 11, 13]",(4 * 11 - 13) - 7,True
"[4, 7, 8, 10]",(8 / 4) * 7 + 10,True
"[4, 7, 9, 11]",(9 - 4) * 7 - 11,True
"[4, 8, 8, 11]",(8 * 11 + 8) / 4,True
"[4, 8, 8, 13]",(13 * 8 - 8) / 4,True
"[4, 9, 11, 11]",((11 * 4) - 9) - 11,True
"[5, 10, 10, 11]",(10 * 11 + 10) / 5,True
"[5, 10, 10, 13]",(13 * 10 - 10) / 5,True
"[5, 5, 7, 11]",(7 - 11 / 5) * 5,True
"[5, 5, 8, 11]",(5 * 8 - 11) - 5,True
"[5, 6, 7, 9]",(7 - 5) * 9 + 6,True
"[5, 6, 8, 13]",(13 + 5) / 6 * 8,True
"[5, 6, 9, 11]",(11 + 9) / 5 * 6,True
"[5, 7, 10, 11]",(10 - 5) * 7 - 11,True
"[5, 7, 7, 11]",(5 - 11 / 7) * 7,True
"[5, 7, 9, 12]",( (5 + 9) / (7) ) * 12,True
"[5, 8, 9, 13]",((5 * 9) - 13) - 8,True
"[5, 9, 10, 11]",(5 * 9) - 10 - 11,True
"[6, 11, 12, 12]",(11 * 12 + 12) / 6,True
"[6, 12, 12, 13]",(13 * 12 - 12) / 6,True
"[6, 6, 9, 13]",(6 * 13) - (6 * 9),True
"[6, 7, 11, 11]",(11 - 6) * 7 - 11,True
"[6, 7, 7, 11]",(6 * 7) - 7 - 11,True
"[6, 7, 8, 12]",(6 + 8) / 7 * 12,True
"[6, 9, 9, 10]",(9 * 10) / 6 + 9,True
"[7, 10, 12, 13]",} ((13 + 7) / 10) * 12,True
"[7, 8, 10, 11]",(10 + 11) / 7 * 8,True
"[7, 8, 8, 13]",(13 + 8) / 7 * 8,True
"[7, 8, 9, 12]",(7 + 9) / 8 * 12,True
"[7, 9, 11, 12]",(11 + 7) * (12 / 9),True
"[8, 9, 10, 12]",(10 * 12) / 8 + 9,True
"[8, 9, 11, 11]",(11 - 8) * 11 - 9,True
"[9, 11, 12, 13]",(9 + 13) / (11) * 12,True
