input,expression,valid
"[1, 2, 7, 7]",(7 * 7 - 1) / 2,True
"[1, 2, 9, 11]",11 * (2 + 1) - 9,True
"[1, 3, 4, 6]",6 / (1 - 3 / 4),True
"[1, 3, 9, 10]",(10 - 1) * 3 - 9 / 3,False
"[1, 4, 5, 6]",4 / (1 - 5 / 6),True
"[1, 4, 6, 10]",10 * (4 - 1) - 6,True
"[1, 4, 7, 11]",,False
"[1, 4, 9, 13]",(4 * 9) - 13 + 1,True
"[1, 5, 11, 11]",(11 * 11 - 1) / 5,True
"[1, 5, 5, 5]",5 * (5 - 1 / 5),True
"[1, 6, 11, 13]",(13 * 11 + 1) / 6,True
"[1, 6, 6, 8]",6 / ( 1 - (6) / (8) ),True
"[1, 7, 12, 13]",12 / (13 - 7) * (13 - 1),False
"[1, 7, 13, 13]",(13 * 13 - 1) / 7,True
"[1, 8, 12, 12]",12 / ( (12) / (8) - 1 ),True
"[2, 2, 10, 11]",(10 + 2) * 2 * (11 / 11),False
"[2, 2, 11, 11]",(2 + 2 / 11) * 11,True
"[2, 2, 13, 13]",13 * (2 - 2 / 13),True
"[2, 2, 3, 10]",(10 + 3) * 2 - 2,True
"[2, 2, 3, 5]",(5 * 2 - 2) * 3,True
"[2, 2, 6, 13]",(13 + 2) * 2 - 6,True
"[2, 2, 6, 9]",9 * 2 + 6 * 2 / 2,False
"[2, 2, 7, 10]",(7 * 2) + 10 * (2 / 2),False
"[2, 3, 13, 13]",13 * 3 - 13 - 2,True
"[2, 3, 5, 12]",12 / ((3 * 2 - 5) / 2),False
"[2, 3, 7, 9]",(9 + 7) * 3 / 2,True
"[2, 3, 8, 13]",(13 + 3) * 2 - 8,True
"[2, 4, 10, 10]",(10 + 10 + 4) * (2 / 2),False
"[2, 4, 11, 12]",,False
"[2, 4, 7, 12]",,False
"[2, 4, 7, 7]",(7 + 7) * 2 - 4,True
"[2, 5, 12, 13]",(13 + 5) + (12 / 2),True
"[2, 5, 5, 10]",(10 * 2) + (5 - 5/5),False
"[2, 5, 6, 9]",(6 / 2) * 5 + 9,True
"[2, 5, 7, 8]",(2 * 5 - 7) * 8,True
"[2, 5, 7, 9]",5 * 7 - 9 - 2,True
"[2, 5, 8, 12]",,False
